slug,dob,birthplace,pcs_ranking,grand_tours,classics
mathias-norsgaard,5thMay 1997,Silkeborg,,1,14
otto-vergaerde,15thJuly 1994,Melle,,4,16
arnaud-de-lie,16thMarch 2002,Libramont,217,3,3
steffen-de-schuyteneer,24thFebruary 2005,Geraardsbergen,,,
jenno-berckmoes,4thFebruary 2001,Ghent,,1,8
georg-zimmermann,11thOctober 1997,Augsburg,1879,6,13
milan-menten,31stOctober 1996,Bilzen,,2,2
matys-grisel,14thJuly 2005,Creil,,,1
simone-gualdi,16thApril 2005,Alzano Lombardo,,1,
liam-slock,18thSeptember 2000,Ghent,,1,5
jarno-widar,13thNovember 2005,Hasselt,,,
lennert-van-eetvelt,17thJuly 2001,Binkom,1308,4,5
vito-braet,2ndNovember 2000,Hulste,,2,8
toon-aerts,19thOctober 1993,Malle,,1,2
huub-artz,14thMay 2002,Wintelre,,1,2
luca-van-boven,6thJanuary 2000,Zottegem,,1,8
lars-craps,17thOctober 2001,Aalst,,1,4
matthew-fox2,28thSeptember 2002,Keighley,,,
lorenzo-rota,23rdMay 1995,Bergamo,,8,23
jonas-rutsch,24thJanuary 1998,Erbach im Odenwald,,4,18
mathieu-kockelmann,31stJanuary 2004,Schouweiler,,,
baptiste-veistroffer,29thMay 2000,Vernon,,,3
sebastien-grignard,29thApril 1999,Mons,,3,13
cedric-beullens,27thJanuary 1997,Onze-Lieve-Vrouw-Waver,,2,12
roel-van-sintmaartensdijk,8thMay 2001,Zuidland,,2,3
joshua-giddings,20thJuly 2003,Nottingham,,1,4
reuben-thompson,15thFebruary 2001,Queenstown,,1,3
lionel-taminiaux,21stMay 1996,Ottignies-Louvain-la-Neuve,,1,3
jasper-de-buyst,24thNovember 1993,Asse,1530,11,12
felix-orn-kristoff,15thMarch 2006,Stavanger,,,
robin-orins,6thMarch 2002,Heestert,,,2
taco-van-der-hoorn,4thDecember 1993,Rotterdam,,3,14
thymen-arensman,4thDecember 1999,Deil,1137,11,5
dorian-godon,25thMay 1996,Vitry-sur-Seine,769,6,6
oscar-onley,13thOctober 2002,Kelso,1490,3,3
egan-bernal,13thJanuary 1997,Bogotá,225,11,6
kevin-vauquelin,26thApril 2001,Bayeux,904,3,6
filippo-ganna,25thJuly 1996,Verbania,220,9,20
ben-turner,28thMay 1999,Doncaster,,6,12
axel-laurance,13thApril 2001,Calan,1920,2,8
samuel-watson,24thSeptember 2001,Leeds,,2,6
magnus-sheffield,19thApril 2002,Coon Rapids,1705,3,11
artem-shmidt,30thJanuary 2004,Cumming,,,2
andrew-august,12thOctober 2005,Rochester,,,1
kim-heiduk,3rdMarch 2000,Herrenberg,,3,7
sam-welsford,19thJanuary 1996,Subiaco,1357,1,4
embret-svestad-bardseng,1stSeptember 2002,Oslo,,2,1
victor-langellotti,7thJune 1995,Monaco,,2,1
tobias-foss,25thMay 1997,Vingrom,2038,5,3
carlos-rodriguez-cano,2ndFebruary 2001,Almuñécar,996,5,4
joshua-tarling,15thFebruary 2004,Aberaeron,1632,2,7
michal-kwiatkowski,2ndJune 1990,Chełmża,129,14,39
brandon-smith-rivera-vargas,21stMarch 1996,Zipaquirá,,4,3
